,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
4,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
5,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False
16,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True
22,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False
24,False,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False
25,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False
31,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
32,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False
39,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
40,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
43,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
52,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True
61,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
63,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
64,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
66,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
75,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
87,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
117,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
120,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False
142,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False
150,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False
157,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
162,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
178,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
188,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
200,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False
207,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
210,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
217,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False
219,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
223,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False
233,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
236,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
254,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
259,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
261,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False
263,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
268,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
269,False,False,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False
274,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True
280,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True
281,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
282,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
288,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False
294,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
296,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
302,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
303,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
311,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
313,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True
330,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
359,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
373,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
383,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
391,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
392,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
403,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
406,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
433,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False
436,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
441,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False
444,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
451,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True
457,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
461,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
464,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
477,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
481,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
487,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True
492,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True
494,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True
517,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
528,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
532,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,False,True
540,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
549,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
560,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
573,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
598,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
599,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
611,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
613,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
614,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False
